atomic_number,name,symbol,atomic_mass,density,melting_point,boiling_point,atomic_radius,covalent_radius,specific_volume,specific_heat,heat_fusion,heat_evaporation,thermal_conductivity,pauling_electronegativity,first_ionisation_energy,oxidation_states,electronic_configuration,lattice,lattice_constant,group,period,electron_affinity,atomic_polarisability,van_der_waals_volume,van_der_waals_radius,mcgowan_parameter,sanderson_electronegativity,hexcode
1,Hydrogen,H,1.00794, 0.0708 (@ -253degC),14.01,20.28,79.0,0.37,14.1,14.267 (H-H), 0.117 (H-H), 0.904 (H-H),0.1815,2.2,13.590713582422138, 1 -1, 1s¹, HEX,3.75,1.0,1,0.7565942892677618,0.67,6.7088208462585435,1.17,8.71,2.59,#FFFFFF
2,Helium,He,4.0026019999999995, 0.147 (@ -270degC),0.95,4.216,0.0,,31.8,5.188,,0.08,0.152,,24.473234181478986,, 1s², HEX,3.57,18.0,1,0.0,,,,,,#D9FFFF
3,Lithium,Li,6.941,0.534,553.69,1118.15,155.0,1.34,13.1,3.489,2.89,148,84.8,0.98,5.388402342333005,1, [He]2s¹, BCC,3.49,1.0,2,0.6218583199461056,24.3,25.25240658728869,1.82,,0.89,#CC80FF
4,Beryllium,Be,9.01218,1.848,1551.0,3243.0,112.0,0.9,5.0,1.824,12.21,309,201,1.57,9.315437632792662,2, [He]2s², HEX,2.29,2.0,2,0.0,5.6,0.0,0.0,,1.81,#C2FF00
5,Boron,B,10.811,2.34,2573.0,3931.0,98.0,0.82,4.6,1.025,23.6,504.5,27.4,2.04,8.293517127014564,3, [He]2s²2p¹, TET,8.73,13.0,2,0.2798362439757475,3.03,17.808758841775074,1.62,,2.28,#FFB5B5
6,Carbon,C,12.011, 2.25 (graphite),3820.0,5100.0,91.0,0.77,5.3,0.711,,,1.59,2.55,11.25252629942478, 4 2 -4, [He]2s²2p², DIA,3.57,14.0,2,1.5961030211950045,1.76,22.449297503777064,1.75,16.35,2.75,#909090
7,Nitrogen,N,14.006739999999999, 0.808 (@ -195.8degC),63.29,77.4,92.0,0.75,17.3,1.042 (N-N),,,0.026,3.04,14.525573923407785, 5 4 3 2 -3, [He]2s²2p³, HEX,4.039,15.0,2,0.07255013732704567,1.1,15.598531123848925,1.55,14.39,3.19,#3050F8
8,Oxygen,O,15.9994, 1.149 (@ -183degC),54.8,90.19,,0.73,14.0,0.916 (O-O),,,0.027,3.44,13.609369332020519, -2 -1, [He]2s²2p, CUB,6.83,16.0,2,1.461367051873348,0.8,11.494040321933856,1.4,12.43,3.65,#FF0D0D
9,Fluorine,F,18.998403, 1.108 (@ -189degC),53.53,85.01,,0.71,17.1,0.824 (F-F), 0.51 (F-F), 6.54 (F-F),0.028,3.98,17.412032958490958,-1, [He]2s²2p, MCL,,17.0,2,3.3994921490387107,0.56,9.202772079915704,1.3,10.48,4.0,#90E050
10,Neon,Ne,20.1797, 1.204 (@ -246degC),48.0,27.1,,0.71,16.8,1.029,,1.74,<0.0493>,0.0,21.551536508265535,, [He]2s²2p, FCC,4.43,18.0,2,0.0,,,,,,#B3E3F5
11,Sodium,Na,22.989767999999998,0.971,370.96,1156.1,190.0,1.54,23.7,1.222,2.64,97.9,142,0.93,5.1365497227548325,1, [Ne]3s¹, BCC,4.23,1.0,3,0.54930818261906,23.6,48.99662669497342,2.27,,0.56,#AB5CF2
12,Magnesium,Mg,24.305,1.738,922.0,1363.0,160.0,1.3,14.0,1.025,9.2,131.8,156,1.31,7.641602321604394,2, [Ne]3s², HEX,3.21,2.0,3,0.0,10.6,21.68837025275597,1.73,,1.32,#8AFF00
13,Aluminum,Al,26.981539,2.6989,933.5,2740.0,143.0,1.18,10.0,0.9,10.75,284.1,237,1.61,5.982277037881538,3, [Ne]3s²3p¹, FCC,4.05,13.0,3,0.445665129294709,6.8,36.61763323284495,2.06,,1.71,#BFA6A6
14,Silicon,Si,28.0855,2.33,1683.0,2628.0,132.0,1.11,12.1,0.703,50.6,383,149,1.9,8.146343991293984, 4 -4, [Ne]3s²3p², DIA,5.43,14.0,3,1.3888169145463023,5.38,32.024863534338344,1.97,,2.14,#F0C8A0
15,Phosphorus,P,30.973762, 1.82 (white phosphorus),317.3,553.0,128.0,1.06,17.0,0.757,2.51,49.8,<0.236>,2.19,10.480385552158367, 5 3 -3, [Ne]3s²3p³, CUB,7.17,15.0,3,0.7462299839353267,3.63,26.52184878038064,1.85,24.87,2.52,#FF8000
16,Sulfur,S,32.066,2.07,386.0,717.824,127.0,1.02,15.5,0.732,1.23,10.5,0.27,2.58,10.35394102710266, 6 4 2 -2, [Ne]3s²3p, ORC,10.47,16.0,3,2.0728610664870186,2.9,24.429024474314232,1.8,22.91,2.96,#FFFF30
17,Chlorine,Cl,35.4527, 1.56 (@ -33.6degC),172.2,238.6,,0.99,18.7, 0.477 (Cl-Cl), 6.41 (Cl-Cl), 20.41 (Cl-Cl),0.009,3.16,13.006166761672802, 7 5 3 1 -1, [Ne]3s²3p, ORC,6.24,17.0,3,3.617142561019848,2.18,22.449297503777064,1.75,20.95,3.48,#1FF01F
